"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"Marthyan;V3K",23,311947,0.724,0.501,10,-7.587,1,0.0402,0.501,2.78e-05,0.153,0.158,127.035,4
"Marti West",50,226000,0.579,0.266,5,-18.156,0,0.0358,0.954,0.807,0.11,0.324,115.87,4
"Martin and Rose Music",56.5,69906,0.7335,0.633,5,-4.5065,1,0.05635,0.35575,0,0.22,0.896,101.2965,4
"Martin Garrix",54,261972.933333333,0.618066666666667,0.7916,2.46666666666667,-6.2454,0.8,0.0374533333333333,0.0060392,0.520036866666667,0.247786666666667,0.106566666666667,128.030466666667,4
"Martin Garrix;Bebe Rexha",79,195706,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,4
"Martin Garrix;Bebe Rexha;DallasK",57,200597,0.522,0.816,4,-3.156,0,0.0643,0.0126,4.19e-06,0.348,0.102,134.103,4
"Martin Garrix;Blinders",50,210468,0.514,0.905,4,-6.727,0,0.0504,0.0011,0.237,0.101,0.315,128.01,4
"Martin Garrix;Bonn",65.2857142857143,221804.571428571,0.432571428571429,0.567857142857143,8.42857142857143,-6.18614285714286,0.428571428571429,0.0316857142857143,0.0701714285714286,5.81428571428572e-07,0.118285714285714,0.331571428571429,128.089571428571,4
"Martin Garrix;Bonn;DubVision",56,239062,0.584,0.79,11,-6.128,1,0.0589,0.0455,0,0.213,0.291,127.972,4
"Martin Garrix;Bono;The Edge",61.75,218583.25,0.6565,0.76325,0,-4.52375,1,0.0363,0.21425,6.72e-06,0.16875,0.321,121.43375,4
"Martin Garrix;Breathe Carolina",63,163124,0.556,0.939,11,-5.99,1,0.039,0.00245,0.915,0.121,0.152,127.992,4
"Martin Garrix;Brooks",53.6666666666667,214091.666666667,0.617,0.911666666666667,6.33333333333333,-4.77466666666667,0,0.0365666666666667,0.007212,0.908333333333333,0.0862333333333333,0.179,128.024333333333,4
"Martin Garrix;Clinton Kane",69,174062,0.573,0.739,9,-5.455,1,0.0581,0.212,0,0.175,0.363,120.077,4
"Martin Garrix;Clinton Kane;Alle Farben",49,169270,0.679,0.852,6,-5.007,0,0.0501,0.0972,6.59e-05,0.0978,0.393,123.889,4
"Martin Garrix;DallasK;Sasha Alex Sloan",67,190560,0.693,0.725,5,-6.318,0,0.0439,0.0628,0.00785,0.157,0.379,125.068,4
"Martin Garrix;David Guetta;Jamie Scott;Romy Dya",67,183636,0.526,0.52,6,-7.985,0,0.0569,0.435,0,0.197,0.13,149.119,4
"Martin Garrix;David Guetta;Khalid",55,195832,0.609,0.824,0,-8.251,0,0.0795,0.0913,2.88e-05,0.134,0.36,127.072,4
"Martin Garrix;Dawn Golden",45,204418,0.506,0.726,5,-5.964,0,0.0366,0.00308,8.05e-05,0.266,0.266,128.044,4
"Martin Garrix;Dean Lewis",64,236764,0.651,0.693,4,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,4
"Martin Garrix;Dua Lipa",78,220883,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,4
"Martin Garrix;Dua Lipa;Brooks",56,200624,0.604,0.796,1,-2.416,0,0.0597,0.0126,0,0.106,0.225,127.991,4
"Martin Garrix;DubVision;Jordan Grace",45.5,189921,0.57,0.753,11,-5.979,0,0.0512,0.0241,0,0.415,0.39,127.033,4
"Martin Garrix;DubVision;Shaun Farrugia",55.5,202670,0.558,0.715,9,-5.231,1,0.0375,0.0667,0,0.097,0.297,127.001,4
"Martin Garrix;Firebeatz",36,206449,0.584,0.96,7,-4.492,0,0.0379,0.0104,0.516,0.175,0.165,128.003,4
"Martin Garrix;G-Eazy;Sasha Alex Sloan",63,164166,0.647,0.642,9,-7.306,0,0.0743,0.262,0,0.134,0.48,90.045,4
"Martin Garrix;Jay Hardway",43.5,238131.5,0.5475,0.8715,7.5,-5.314,0.5,0.0581,0.00357845,0.808,0.45,0.12325,128.005,4
"Martin Garrix;John Martin",59,206279,0.442,0.619,1,-5.28,1,0.0321,0.0841,0,0.0889,0.382,128.318,4
"Martin Garrix;John Martin;Michel Zitron",52,192631,0.495,0.831,5,-5.812,0,0.0319,0.021,4.79e-05,0.495,0.414,128.064,5
"Martin Garrix;JRM",53,188656,0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,4
"Martin Garrix;Julian Jordan",49,189600,0.757,0.623,1,-4.335,0,0.0434,0.00655,0.857,0.112,0.24,125.017,4
"Martin Garrix;Julian Jordan;Tinie Tempah",54,205560,0.738,0.926,8,-6.089,1,0.0992,0.0124,0.0144,0.1,0.419,125.033,4
"Martin Garrix;Justin Mylo;Dewain Whitmore",51.3333333333333,219274,0.383333333333333,0.666,6,-5.95833333333333,0.666666666666667,0.0431333333333333,0.0209333333333333,0,0.318233333333333,0.265666666666667,127.939,3.33333333333333
"Martin Garrix;Khalid",69,216419,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,4
"Martin Garrix;LOOPERS",50,155644,0.606,0.941,1,-3.203,1,0.0895,0.00401,0.136,0.398,0.396,128.018,4
"Martin Garrix;Macklemore;Fall Out Boy",74,163804,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
"Martin Garrix;Macklemore;Fall Out Boy;Tiësto",53,255238,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,4
"Martin Garrix;Matisse & Sadko",50.2,209437,0.5226,0.8068,5,-5.0336,0.6,0.04418,0.0355964,0.01748892,0.2892,0.189,127.5594,4
"Martin Garrix;Matisse & Sadko;Alex Aris",52,282480,0.424,0.694,6,-4.912,0,0.0386,0.0573,0.000937,0.133,0.0801,128.034,4
"Martin Garrix;Matisse & Sadko;John Martin",57,217261,0.46,0.843,2,-5.164,0,0.0616,0.00623,0,0.16,0.276,125.982,4
"Martin Garrix;Matisse & Sadko;Michel Zitron",54,244453,0.422,0.711,2,-4.809,0,0.0385,0.0176,0,0.559,0.321,128.066,4
"Martin Garrix;Mesto",48.6666666666667,165604.666666667,0.574666666666667,0.832333333333333,1,-5.99533333333333,1,0.0407333333333333,0.150966666666667,0.776,0.0712333333333333,0.314666666666667,126.659333333333,4
"Martin Garrix;Mike Yung",49,193399,0.532,0.639,5,-7.419,0,0.0388,0.0507,0.00131,0.106,0.198,105,4
"Martin Garrix;MOTi",53,236595,0.5475,0.8605,5,-5.1,0,0.0392,0.000901,0.5385,0.473,0.0562,127.998,4
"Martin Garrix;Pierce Fulton;Mike Shinoda",47.5,247504,0.507,0.887,5,-4.084,0,0.141,0.00731,0,0.562,0.336,128.015,4
"Martin Garrix;Shaun Farrugia",51.5,210505,0.502,0.554,10,-5.788,1,0.0317,0.0353,0,0.62,0.512,125.786,4
"Martin Garrix;Third Party",54,211889,0.504,0.847,7,-6.81,0,0.0442,0.00434,0,0.816,0.28,127.854,4
"Martin Garrix;Tiësto",58,258440,0.597,0.736,1,-7.793,0,0.0309,0.00296,0.921,0.0914,0.172,128.179,4
"Martin Garrix;Tove Lo",70,144391,0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978,4
"Martin Garrix;Troye Sivan",69,221904,0.611,0.644,6,-7.607,0,0.0553,0.124,0,0.124,0.13,105.969,4
"Martin Garrix;Troye Sivan;Dzeko",48,159047,0.61,0.907,2,-5.224,1,0.154,0.0207,3.82e-05,0.165,0.515,126.235,4
"Martin Garrix;Troye Sivan;Madison Mars",49,175000,0.6,0.947,6,-1.84,0,0.163,0.0395,0,0.1,0.347,126.045,4
"Martin Garrix;Usher",64,223139,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,4
"Martin Garrix;Vluarr",47,163928,0.739,0.516,6,-7.465,1,0.0444,0.0177,0.837,0.376,0.486,126.005,4
"Martin Garrix;Zedd",64.5,221220,0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085,4
"Martin Ikin",52,192380,0.747,0.998,5,-5.934,1,0.0516,0.0207,0.705,0.058,0.724,125.989,4
"Martin Ikin;Dope Earth Alien",57,179032,0.704,0.989,11,-6.003,0,0.0564,0.157,0.843,0.0747,0.848,123.971,4
"Martin Jensen",65.8,178818.4,0.7424,0.8356,7.4,-2.744,1,0.0511,0.0684,0,0.16976,0.427,114.3782,4
"Martin Jensen;Amber Van Day;N.F.I",62,175305,0.742,0.787,9,-4.712,0,0.0479,0.0273,3.25e-05,0.107,0.688,124.016,4
"Martin Jensen;Bjørnskov",55,167726,0.718,0.725,9,-5.409,1,0.0519,0.153,0,0.32,0.65,100.044,4
"Martin Jensen;Cheat Codes;Theresa Rex",59,185015,0.606,0.853,5,-4.601,0,0.0392,0.00673,1.19e-06,0.241,0.333,122.001,4
"Martin Jensen;FAST BOY",68,152990,0.605,0.834,8,-5.879,0,0.286,0.204,0,0.214,0.503,126.277,4
"Martin Jensen;James Arthur",61,211040,0.673,0.687,6,-5.295,0,0.0623,0.269,0,0.181,0.524,96.964,4
